SC2,SC3,SC4,B2b,E1_1,E1_2,E1_3,E1_4,E1_5,E1_6,E1_7,E1_8,E1_9,E1_10,E1_11,E1_12,E1_13,E1_14,E1_15,E1_16,E1_15_TEXT,E2,E3,E3_TEXT,E8,E8a,E7,H1,H3_1,H3_2,H3_3,H3_4,H3_5,H3_6,H3_7,H7_1,H7_2,H7_3,H7_4,H7_5,H7_5_TEXT,H8,H9New,H10,H11,H12,Z1,Z5,Z5_TEXT,Z10,WEIGHT
7,1,4879,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,0,0,0,0,0,1,0,0,0,0,0,,1,3,1,,,5,8,,1,0.54
7,1,4879,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,1,,1,,2,2,0,0,1,0,0,1,0,0,0,0,0,0,,2,1,1,2,2,4,8,,2,0.54
7,1,4879,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,6,3,,1,,4,2,0,0,0,0,0,0,1,0,0,0,0,0,,1,4,1,4,4,3,8,,2,0.54
7,1,4870,1,0,0,1,0,1,1,0,0,1,0,0,0,0,0,0,0,,6,5,,1,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,,1,3,1,3,2,6,97,Married 1grown up at home aswell,1,0.54
7,1,4868,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,5,3,,1,,4,2,1,0,0,0,0,0,0,0,1,0,0,0,,1,3,1,3,4,3,3,,2,0.54
7,1,4815,5,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,3,5,,1,,5,2,0,0,0,0,0,0,1,0,0,0,0,0,,1,5,1,5,4,2,8,,2,0.54
7,1,4815,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,5,,1,,4,2,1,0,0,0,0,0,0,0,1,0,0,0,,2,4,1,4,3,6,2,,2,0.54
7,1,4753,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,4,2,0,1,1,0,0,0,0,0,0,0,0,0,,1,4,1,4,4,6,8,,2,0.54
7,1,4680,5,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,,5,2,,1,,5,99,1,1,1,0,0,1,0,0,0,1,0,0,,1,4,1,4,4,6,8,,2,0.54
7,1,4670,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,97,auswide bank,1,,3,2,0,1,1,0,0,0,0,0,0,0,0,0,,1,3,1,3,3,6,8,,1,0.54
7,1,4650,5,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,5,5,,1,,4,2,0,1,0,0,0,0,0,0,0,0,0,0,,2,4,1,4,4,6,8,,1,0.54
7,1,4570,4,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,,5,3,,1,,3,1,1,0,0,0,1,1,0,0,0,1,0,0,,1,4,1,4,4,6,8,,2,0.54
7,1,4075,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,,10,4,,1,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,,2,3,1,3,3,3,1,,1,0.54
6,1,4869,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,5,,1,,4,2,0,0,0,1,0,0,0,0,0,0,0,0,,1,6,1,3,3,6,8,,2,0.67
6,1,4810,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,2,0,1,0,0,0,0,0,0,0,0,0,0,,1,3,1,,,6,8,,2,0.67
6,1,4740,2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,3,4,,1,,4,2,0,1,0,0,0,0,0,0,0,0,0,0,,1,4,1,4,4,6,8,,2,0.67
6,1,4655,99,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,5,,1,,3,2,0,0,0,0,0,0,1,0,0,0,0,0,,99,3,1,3,3,2,2,,2,0.67
6,1,4655,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,3,5,,1,,5,99,0,0,0,0,0,0,1,0,0,0,0,0,,1,3,1,3,3,6,3,,2,0.67
6,1,4455,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,16,,,,,,99,0,0,1,0,0,1,0,0,0,0,0,0,,1,3,1,,,6,8,,2,0.67
6,1,4300,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,5,2,0,1,0,1,0,0,0,0,0,0,0,0,,2,3,1,4,3,6,3,,2,0.67
7,1,4560,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,5,,1,,3,2,0,0,0,1,0,0,0,0,0,0,0,0,,1,3,1,3,2,3,7,,2,0.71
7,1,4557,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,3,5,,1,,3,99,0,1,0,0,0,0,0,0,0,0,0,0,,1,3,1,3,3,5,3,,2,0.71
7,1,4211,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,,5,3,,1,,5,2,0,0,0,1,1,1,0,0,0,0,0,0,,1,3,1,4,3,6,8,,2,0.71
7,1,4152,5,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,,5,5,,1,,5,99,0,1,0,1,1,1,0,0,0,0,0,0,,99,5,1,5,4,6,8,,2,0.71
