SC2,SC3,SC4,B2b,H9New,H10,H11,H12,Z1,Z5,Z10,WEIGHT
7,1,4879,3,3,1,,,5,8,1,0.54
7,1,4879,1,1,1,2.0,2.0,4,8,2,0.54
7,1,4879,4,4,1,4.0,4.0,3,8,2,0.54
7,1,4870,1,3,1,3.0,2.0,6,97,1,0.54
7,1,4868,1,3,1,3.0,4.0,3,3,2,0.54
7,1,4815,5,5,1,5.0,4.0,2,8,2,0.54
7,1,4815,2,4,1,4.0,3.0,6,2,2,0.54
7,1,4753,4,4,1,4.0,4.0,6,8,2,0.54
7,1,4680,5,4,1,4.0,4.0,6,8,2,0.54
7,1,4670,3,3,1,3.0,3.0,6,8,1,0.54
7,1,4650,5,4,1,4.0,4.0,6,8,1,0.54
7,1,4570,4,4,1,4.0,4.0,6,8,2,0.54
7,1,4075,5,3,1,3.0,3.0,3,1,1,0.54
6,1,4869,3,6,1,3.0,3.0,6,8,2,0.67
6,1,4810,4,3,1,,,6,8,2,0.67
6,1,4740,2,4,1,4.0,4.0,6,8,2,0.67
6,1,4655,6,3,1,3.0,3.0,2,2,2,0.67
6,1,4655,4,3,1,3.0,3.0,6,3,2,0.67
6,1,4455,6,3,1,,,6,8,2,0.67
6,1,4300,4,3,1,4.0,3.0,6,3,2,0.67
7,1,4560,3,3,1,3.0,2.0,3,7,2,0.71
7,1,4557,4,3,1,3.0,3.0,5,3,2,0.71
7,1,4211,5,3,1,4.0,3.0,6,8,2,0.71
7,1,4152,5,5,1,5.0,4.0,6,8,2,0.71
7,1,4129,5,5,2,5.0,5.0,6,8,2,0.71
6,1,4218,4,6,1,,,6,8,2,0.96
6,1,4217,4,4,1,1.0,2.0,6,3,2,0.96
6,1,4114,6,6,1,3.0,3.0,6,8,2,0.96
6,1,4055,6,6,2,,,6,7,2,0.96
6,1,4051,4,4,2,4.0,4.0,6,6,2,0.96
4,1,4558,3,4,1,4.0,3.0,6,1,2,0.99
4,1,4551,3,6,1,,,1,2,2,0.99
4,1,4306,4,3,2,3.0,3.0,6,5,2,0.99
4,1,4221,6,6,1,,,6,1,2,0.99
4,1,4215,4,3,1,3.0,3.0,2,3,2,0.99
4,1,4118,3,3,1,3.0,2.0,6,2,2,0.99
4,1,4074,3,3,2,3.0,3.0,4,7,2,0.99
4,1,4060,3,2,1,2.0,2.0,5,3,2,0.99
4,1,4059,5,5,1,5.0,1.0,2,1,1,0.99
4,1,4059,6,6,2,,,2,3,2,0.99
4,1,4059,5,6,1,5.0,5.0,2,3,2,0.99
4,1,4034,6,6,2,,,6,1,2,0.99
4,1,4034,6,3,2,,,6,1,2,0.99
4,1,4879,3,3,1,3.0,3.0,4,3,2,1.0
4,1,4818,3,3,1,3.0,3.0,1,6,2,1.0
4,1,4750,6,3,2,,,1,3,2,1.0
4,1,4670,4,4,1,3.0,4.0,5,2,2,1.0
4,1,4352,4,3,1,2.0,2.0,6,6,2,1.0
4,1,4075,4,5,1,5.0,4.0,6,3,1,1.0
3,1,4160,4,4,2,4.0,3.0,6,1,2,1.38
3,1,4122,4,4,1,4.0,4.0,3,4,2,1.38
3,1,4103,4,3,2,4.0,4.0,3,1,2,1.38
3,1,4059,5,4,1,4.0,3.0,6,1,2,1.38
3,1,4035,4,3,1,3.0,3.0,6,7,1,1.38
3,1,4018,6,6,1,,,4,3,1,1.38
3,1,4007,5,5,2,5.0,1.0,1,1,2,1.38
3,1,4870,6,3,2,3.0,3.0,6,2,2,1.56
3,1,4400,6,3,1,,,6,3,2,1.56
3,1,4310,1,3,2,3.0,3.0,6,97,1,1.56
3,1,4076,3,3,1,3.0,3.0,4,3,1,1.56
3,1,28,4,4,2,4.0,3.0,6,1,2,1.56
5,1,4868,3,3,1,3.0,3.0,3,2,2,1.65
5,1,4810,4,4,1,4.0,2.0,6,8,2,1.65
5,1,4703,4,3,1,3.0,3.0,2,8,2,1.65
5,1,4702,3,3,2,,,1,1,1,1.65
5,1,4350,4,3,1,3.0,3.0,6,6,2,1.65
5,1,4519,5,3,2,3.0,3.0,2,8,2,2.14
5,1,4510,5,3,1,3.0,3.0,5,2,2,2.14
5,1,4227,3,3,2,3.0,3.0,6,3,2,2.14
5,1,4133,1,5,1,1.0,3.0,6,8,2,2.14
2,1,4207,4,5,1,4.0,5.0,2,2,2,5.59
2,1,4116,1,1,2,2.0,3.0,3,2,2,5.59
2,1,4069,3,3,1,3.0,3.0,6,7,1,5.59
2,1,4701,5,2,2,2.0,2.0,4,1,2,6.27
3,2,4870,4,3,1,3.0,3.0,3,3,1,0.63
3,2,4860,3,3,1,3.0,3.0,6,5,2,0.63
3,2,4818,6,3,2,3.0,3.0,6,5,2,0.63
3,2,4814,3,4,1,4.0,4.0,6,4,2,0.63
3,2,4810,4,4,1,4.0,3.0,6,3,2,0.63
3,2,4741,4,3,1,4.0,4.0,5,4,1,0.63
3,2,4077,3,3,1,3.0,3.0,4,3,1,0.63
3,2,26,4,4,2,4.0,3.0,6,1,2,0.63
3,2,4560,6,3,1,3.0,4.0,6,7,2,0.66
3,2,4558,3,2,1,3.0,2.0,6,3,2,0.66
3,2,4508,4,4,1,4.0,3.0,2,4,2,0.66
3,2,4500,4,4,1,4.0,2.0,5,6,2,0.66
3,2,4227,4,3,2,3.0,3.0,1,3,2,0.66
3,2,4213,5,5,1,5.0,1.0,3,5,1,0.66
3,2,4211,4,3,2,3.0,3.0,3,4,2,0.66
3,2,4207,3,3,1,3.0,3.0,6,4,2,0.66
3,2,4170,5,4,1,4.0,4.0,3,1,1,0.66
3,2,4157,6,6,2,,,4,3,2,0.66
3,2,4119,3,3,1,3.0,3.0,4,3,2,0.66
3,2,4118,4,3,1,,,2,8,2,0.66
3,2,4114,4,4,1,3.0,3.0,2,6,1,0.66
3,2,4101,4,4,1,4.0,4.0,2,2,1,0.66
3,2,4066,4,4,1,4.0,3.0,1,97,2,0.66
3,2,4064,4,4,2,4.0,2.0,6,1,2,0.66
3,2,4036,1,1,2,1.0,4.0,6,4,2,0.66
3,2,4022,3,3,1,3.0,3.0,4,4,1,0.66
3,2,4011,3,3,1,,,6,2,2,0.66
3,2,4000,2,2,1,3.0,2.0,6,3,2,0.66
4,2,4881,5,4,1,4.0,2.0,6,6,1,0.67
4,2,4871,3,3,1,3.0,3.0,6,4,2,0.67
4,2,4870,6,6,2,3.0,3.0,6,7,2,0.67
4,2,4812,2,2,2,2.0,2.0,4,3,2,0.67
4,2,4740,3,3,2,,,6,4,2,0.67
4,2,4670,3,4,1,,,5,8,2,0.67
4,2,4655,3,3,1,,,5,2,2,0.67
4,2,4570,6,3,2,,,5,8,2,0.67
4,2,4077,3,3,1,,,3,3,1,0.67
4,2,4077,4,4,1,,,4,5,2,0.67
6,2,4703,1,3,1,3.0,3.0,6,8,2,0.69
6,2,4670,3,4,1,4.0,4.0,6,8,2,0.69
6,2,4310,3,3,1,3.0,3.0,6,8,2,0.69
4,2,4306,3,3,2,3.0,3.0,6,5,2,0.75
4,2,4209,3,3,1,3.0,4.0,6,97,2,0.75
4,2,4207,6,6,1,3.0,2.0,6,5,2,0.75
4,2,4207,6,6,2,,,6,5,2,0.75
4,2,4128,4,4,1,,,6,5,2,0.75
4,2,4116,5,4,1,4.0,5.0,3,2,1,0.75
4,2,4074,4,4,1,,,6,6,2,0.75
4,2,4068,4,4,1,4.0,3.0,2,6,1,0.75
4,2,4055,6,3,1,3.0,3.0,6,7,2,0.75
4,2,4053,4,5,1,4.0,3.0,6,5,2,0.75
4,2,4053,3,4,1,5.0,4.0,6,6,2,0.75
2,2,4500,3,3,2,3.0,3.0,4,97,2,0.94
2,2,4305,5,4,1,4.0,2.0,3,6,2,0.94
2,2,4213,3,3,1,3.0,3.0,6,2,2,0.94
2,2,4212,3,3,1,3.0,3.0,3,1,1,0.94
2,2,4207,6,6,2,,,3,4,2,0.94
2,2,4207,3,4,2,,,2,97,2,0.94
2,2,4131,6,6,1,,,3,2,2,0.94
2,2,4108,1,1,2,1.0,1.0,5,1,2,0.94
2,2,4108,1,1,2,1.0,1.0,3,5,2,0.94
2,2,4067,3,4,1,4.0,4.0,6,2,1,0.94
2,2,4059,3,3,1,3.0,3.0,6,2,2,0.94
