Postcode,Average Wait Seconds,Average Serve Seconds,Number of Customers
0.0,439.94768041237114,458.95413553207936,424.2540582324143
4001.0,429.2391959798995,431.2065326633166,401.7407035175879
4004.0,502.800956937799,509.7936962750716,204.42215854823306
4020.0,521.8475247524752,436.4589680589681,366.8545454545455
4032.0,514.3781388478582,499.9351669941061,409.1041257367387
4034.0,404.9504132231405,476.8393295175797,284.91741618969746
4066.0,316.238670694864,522.0020140986908,216.17623363544814
4075.0,491.1054389312977,434.78874582737245,393.56843109203623
4109.0,531.1890359168242,451.87003780718334,512.1677693761815
4120.0,470.86787936811874,447.30334928229667,401.1545454545454
4163.0,378.9230046948357,412.0839587242026,411.03846153846155
4178.0,383.36055396370585,377.712786259542,294.2733778625954
4207.0,544.3677998111426,450.41076487252127,395.6746931067044
4212.0,560.7254335260116,438.60403652090343,454.30081691494473
4215.0,499.72845227062095,503.9179796107507,408.3934198331789
4217.0,459.5214489990467,497.7476235741445,271.3521863117871
4220.0,501.94876571960873,443.78,440.34558139534886
4223.0,455.42428504453824,444.0239099859353,254.0590717299578
4285.0,365.7586206896552,414.46072374227714,164.77405119152692
4305.0,486.62696941612603,461.9967562557924,372.06533827618165
4350.0,326.19035723207594,398.00424045896733,282.63457221252185
4370.0,296.2813965607087,410.03785966683495,142.0994447248864
4500.0,459.5483244293346,425.9834951456311,347.4990291262136
4510.0,443.60112834978844,468.9577345731192,271.00450831220064
4551.0,479.45515587529974,454.7679769894535,257.05512943432404
4558.0,575.841788046208,480.1032581453634,382.8461152882206
4560.0,505.066889632107,447.51098376313274,211.72110792741165
4565.0,476.2523854961832,453.96946564885496,216.90219465648855
4570.0,439.5417696490361,415.31555555555553,200.5106172839506
4650.0,358.35770975056687,379.9359410430839,169.6967120181406
4655.0,461.2041686404548,392.8076740881099,269.67693036475606
4670.0,371.4687848383501,429.58240534521155,336.36469933184856
4680.0,517.8409943714822,479.32037470725993,241.9864168618267
4700.0,554.3155911446067,436.08898305084745,307.0386064030132
4740.0,486.75576470588237,468.4752941176471,385.92329411764706
4810.0,560.8474640423922,445.5889477668433,350.0741862225587
4825.0,271.23417721518985,369.99367088607596,120.3742088607595
4860.0,354.39210155148095,400.06981664315936,105.34626234132581
4865.0,352.30535894843274,281.94972347913523,256.1116138763198
4869.0,301.87548449612405,383.5651331719128,175.25859564164648
4870.0,527.8125,488.42424242424244,406.7230113636364
