Postcode,Car and Motorbike related Service,Fine payment and Lawsuit,Business Service,General Information Service,"Personal, Permit and Other Services",Public transport,Driving Test,Boat related Service
4000,1,0,1,0,1,0,0,1
4021,1,0,1,0,1,0,0,1
4032,1,0,1,0,1,0,0,1
4034,1,0,0,0,0,1,1,0
4066,1,0,1,0,1,0,0,1
4075,1,0,1,0,1,0,1,1
4077,1,0,0,0,0,1,0,0
4109,1,0,1,0,1,0,0,1
4114,1,0,1,0,1,1,1,1
4120,1,0,1,0,1,0,1,1
4163,1,0,1,0,1,0,0,1
4178,1,0,1,0,1,0,1,1
4183,1,0,1,0,1,0,0,1
4207,1,0,1,0,1,0,1,1
4209,0,0,0,0,0,0,0,0
4212,1,0,1,0,1,0,0,1
4215,1,0,1,0,1,0,1,1
4217,1,0,1,0,1,1,0,1
4220,1,0,1,0,1,0,0,1
4223,1,0,1,0,1,0,0,1
4275,1,0,0,0,0,0,1,0
4280,0,0,0,0,0,0,0,0
4285,1,0,1,0,1,0,1,1
4300,0,0,0,0,0,0,0,0
4301,1,0,1,0,1,0,0,1
4305,1,0,1,0,1,1,1,1
4306,1,0,0,0,1,0,0,0
4307,1,0,0,0,0,0,0,0
4310,1,0,0,0,1,0,0,0
4311,1,0,0,0,1,0,0,0
4312,1,0,0,0,0,0,1,0
4313,0,0,0,0,1,0,0,0
4340,1,0,0,0,0,0,0,0
4341,1,0,0,0,1,0,1,0
4343,0,0,0,0,1,0,0,0
4346,1,0,0,0,0,0,0,0
4350,1,0,1,0,1,0,1,1
4352,0,0,0,0,0,0,0,0
4354,1,0,0,0,1,0,1,0
4355,1,0,0,0,1,0,1,0
4356,0,0,0,0,1,0,0,0
4357,0,0,0,0,0,0,0,0
4361,0,0,0,0,1,0,1,1
4370,1,0,1,0,1,1,1,1
4380,1,0,1,0,1,0,1,1
4383,1,0,0,0,1,0,0,0
4385,1,0,1,0,1,0,0,1
4387,1,0,1,0,1,0,1,1
4390,1,0,1,0,1,0,1,1
4401,0,0,0,0,1,0,0,0
4405,1,0,1,0,1,0,1,1
4410,1,0,0,0,1,0,1,0
4413,0,0,0,0,1,0,0,0
4415,1,0,1,0,1,0,1,1
4417,1,0,0,0,1,0,1,0
4419,1,0,0,0,1,0,1,0
4420,0,0,0,0,1,0,0,0
4421,1,0,1,0,1,0,1,0
4422,1,0,0,1,1,0,1,0
4454,1,0,0,0,1,0,1,0
4455,1,0,1,0,1,1,1,1
4465,1,0,1,0,1,0,1,1
4468,1,0,0,0,1,0,1,1
4470,1,0,1,0,1,0,1,1
4472,1,0,0,0,1,0,1,0
4474,0,0,0,0,0,0,0,0
4477,1,0,0,0,1,0,1,1
4478,1,0,0,0,1,0,1,0
4480,1,0,0,0,1,0,1,1
4481,0,0,0,0,1,0,1,0
4482,1,0,1,0,1,0,1,1
4486,1,0,0,0,1,0,1,0
4487,1,0,1,0,1,0,0,1
4488,1,0,0,0,1,0,1,0
4489,0,0,0,0,0,0,0,0
4490,0,0,0,0,1,0,0,0
4491,0,0,0,0,0,0,0,0
4492,1,0,1,0,1,0,1,1
4493,0,0,0,0,0,0,0,0
4500,1,0,1,0,1,0,1,1
4510,1,0,1,0,1,0,1,1
4515,1,0,0,0,0,0,0,0
4550,0,0,0,0,1,0,0,0
4551,1,0,1,0,1,0,1,1
4552,1,0,0,0,1,0,1,1
4556,1,0,1,0,1,1,1,1
4560,1,0,1,0,1,0,1,1
4565,1,0,1,0,1,0,0,1
4570,1,0,1,0,1,0,0,1
4580,1,0,0,0,1,0,0,0
4600,1,0,0,0,1,0,0,0
4605,0,0,1,0,1,0,0,0
4606,1,0,0,0,0,0,0,0
4610,1,0,1,0,1,0,0,1
4614,1,0,0,0,1,0,1,0
4615,0,0,0,0,1,0,0,0
4621,1,0,0,0,0,0,0,0
4625,1,0,1,0,1,0,0,1
4626,1,0,1,0,1,0,1,1
4627,1,0,0,0,1,0,1,0
4630,1,0,1,0,1,0,1,1
4650,1,0,1,0,1,1,1,1
4655,1,0,1,0,1,0,1,1
4660,1,0,0,0,1,0,0,0
4670,1,0,1,0,1,1,1,1
4671,1,0,0,0,0,0,1,1
4677,1,0,1,0,1,0,0,0
4680,1,0,1,0,1,1,1,1
4695,1,0,0,0,1,0,0,0
4701,1,0,1,0,1,1,1,1
4702,1,0,0,0,1,0,1,0
4703,1,0,0,0,1,0,1,1
4705,1,0,0,0,0,0,1,0
4707,0,0,0,0,0,0,0,0
4713,1,0,0,0,1,0,1,0
4714,1,0,0,0,1,0,0,0
4715,1,0,1,0,1,0,1,1
4717,1,0,1,0,1,0,1,1
4718,1,0,1,0,1,0,1,1
4719,1,0,0,0,1,0,1,1
4720,1,0,1,0,1,1,1,1
4721,1,0,0,0,1,0,0,0
4722,1,0,0,0,1,0,0,0
4724,0,0,0,0,0,0,0,0
4725,1,0,1,0,1,0,1,1
4726,1,0,0,0,1,0,1,0
4730,1,0,1,0,1,1,1,1
4731,1,0,1,0,1,0,1,1
4735,1,0,1,0,1,0,1,1
4736,1,0,0,0,0,0,1,1
4737,0,0,0,0,1,0,0,0
4739,1,0,0,0,1,0,0,0
4740,1,0,1,0,1,1,1,1
4742,1,0,0,0,1,0,1,0
4743,0,0,0,0,0,0,0,0
4744,1,0,0,0,1,0,0,0
4745,1,0,0,0,0,0,1,1
4746,1,0,0,0,1,0,1,1
4753,1,0,0,0,1,0,1,0
4754,1,0,0,0,1,0,0,0
4798,1,0,0,0,1,0,1,0
4800,1,0,1,0,1,0,1,1
4802,1,0,1,0,1,0,1,1
4804,1,0,1,0,1,0,1,1
4805,1,0,1,0,1,0,1,1
4806,1,0,0,0,0,0,1,0
4807,1,0,0,0,1,0,0,1
4809,1,0,0,0,1,0,1,0
4814,1,0,1,0,1,1,1,1
4816,1,0,0,0,1,0,1,0
4817,1,0,1,0,0,0,1,1
4819,0,0,0,0,0,0,0,0
4820,1,0,1,0,1,0,1,1
4821,1,0,1,0,1,0,1,1
4822,1,0,1,0,1,0,0,1
4823,1,0,1,0,1,0,1,1
4824,1,0,1,0,1,0,1,1
4825,1,0,1,0,1,0,1,1
4828,0,0,0,0,0,0,0,0
4829,1,0,0,0,1,0,1,1
4830,1,0,0,0,1,0,1,1
4849,1,0,0,0,1,0,1,0
4850,1,0,1,0,1,0,1,0
4854,1,0,0,0,1,0,0,1
4856,1,0,0,0,1,0,0,1
4860,1,0,1,0,1,1,1,1
4861,1,0,0,0,1,0,1,1
4865,1,0,0,0,0,0,1,0
4869,1,0,1,0,1,0,1,1
4870,1,0,1,0,1,1,1,1
4871,1,0,0,0,1,0,1,0
4872,1,0,0,0,1,0,0,0
4873,1,0,1,0,1,0,0,1
4874,0,0,1,0,1,0,0,0
4875,1,0,1,0,1,0,1,1
4876,1,0,1,0,1,0,1,0
4877,1,0,0,0,0,0,0,0
4880,1,0,1,0,1,0,1,1
4883,1,0,1,0,1,0,1,1
4885,1,0,0,0,1,0,1,0
4888,1,0,1,0,1,0,1,1
4890,0,0,0,0,1,0,0,0
4891,0,0,0,0,0,0,0,0
4895,1,0,1,0,1,0,0,1
