Title,Description+UB:AF,Keywords,Address 1,Address 2,Suburb,Postcode,Postal address 1,Postal address 2,Postal suburb,Postal postcode,Latitude,Longitude,Phone,Fax,Email,Mon am,Mon pm,Tues am,Tues pm,Wed am,Wed pm,Thurs am,Thurs pm,Fri am,Fri pm,Sat am,Sat pm,Sun am,Sun pm,Closure,Services,servicesnotoffered,ServiceAlert,AddressDetails,MainAlert,TimeAlert,Wheelchair,Type,Last updated,Initial,Holiday,URL
Adavale Police Station,"Shepherd Street, Adavale",,,Shepherd Street,Adavale,4474,,Shepherd Street,Adavale,4474,-25.9092582,144.5975769,(07) 4656 4833,,,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,8:00,16:00,,,,,,"####Services offered at this location####
* Registration (transfers and cancellations only)",,,,,Please call to arrange an appointment,,Queensland Police Station,19/07/2018,a,,/transport/contacts/centres/view?title=Adavale Police Station
Agnes Water QGAP,71 Springs Rd: registration; industry licensing; pre-registration inspections, registration; industry licensing; pre-registration inspections,,71 Springs Rd,Agnes Water,4677,,71 Springs Rd,Agnes Water,4677,-24.212358,151.909973,(07) 4902 1555 or 13 23 90 (for practical driving test bookings),(07) 4902 1599,,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,,,"####Services offered at this location####
* registration of vehicles and vessels 
* industry licensing services 
* pre-registration inspections for all vehicles ",,Driver licensing is available monthly at our [Agnes Water mobile customer service centre](https://www.qld.gov.au/transport/contacts/mobile#CentralQueensland). , Next to the library and visitors information centre ,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),29/05/2017,a,,/transport/contacts/centres/view?title=Agnes Water QGAP
Agnes Water mobile customer service unit,NA,NA,NA,NA,NA,4677,NA,NA,NA,4677,-24.2115301,151.9079841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,,,NA,"####Services offered at this location#### 
* registration of vehicles and vessels
*  driver licensing for cars, motorbikes, heavy vehicles and recreational vehicles
*  purchase an adult proof of age card
* pay a fine
* access industry licensing services
* ask questions about departmental services",NA,NA,NA,Please note: This is a mobile customer service centre that visits this location on selected dates. Please [check the schedule](/transport/contacts/mobile#CentralQueensland) before travelling here. ,NA,,Mobile customer centre,,a,,/transport/contacts/mobile#CentralQueensland
Alpha Police Station,Milton St:,,,Milton St,Alpha,4724,,PO Box 29,Alpha,4724,-23.6490414,146.6329609,(07) 4985 1200,,,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,9:00,16:30,,,,,,"####Services offered at this location
* driver licensing
* registration of vehicles and vessels
","####Services not offered at this location####
* practical driver testing
",,,, Please contact this location for operating times and services offered,,Queensland Police Station,,a,,/transport/contacts/centres/view?title=Alpha Police Station
Anakie Police Station,Cook St:driver licence; practical driver tests,driver licence; practical driver tests,,Cook St,Anakie,4702,Anakie Police / Sapphire Police Station, Cook St,Anakie,4702,-23.552334,147.746706,(07) 4985 4200,(07) 4985 4056,,,,,,10:00,12:00,,,,,,,,,,"####Services offered at this location####
* driver licensing
* practical driver testing for light vehicles only (not including motorcycles)","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,, Driver licence transactions can be done other days by appointment,,Queensland Police Station,,a,,/transport/contacts/centres/view?title=Anakie Police Station
Aramac Police Station,Burt St:driver licence; practical driver tests,driver licence; practical driver tests,,Burt St,Aramac,4726,,Burt St,Aramac,4726,-22.970914,145.240175,(07) 4651 3120,(07) 4651 3257,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
* practical driver testing for all licence classes up to heavy rigid",,,,, Please contact this location for operating times. Appointments are required. ,,Queensland Police Station,19/07/2018,a,,/transport/contacts/centres/view?title=Aramac Police Station
Aramac QGAP,Gordon St:registration,registration,,Gordon St,Aramac,4726,,PO Box 91,Aramac,4726,-22.971298,145.241481,(07) 4651 3014,(07) 4651 3000,,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,9:00-13:00,14:00-16:45,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels","####Services not offered at this location####
* vehicle inspections",, Beside Elders Aramac,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),17/07/2018,a,,/transport/contacts/centres/view?title=Aramac QGAP
Atherton Transport and Main Roads Customer Service Centre,"13 Herberton Rd Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",Shop 2,13B Herberton Road,Atherton,4883,,PO Box 446,Atherton,4883,-17.269614,145.4734,13 23 80,(07) 4091 2668,,8:30,16:30,8:30,16:30,9:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
* boat licensing
* registration of vehicles and vessels
* industry licensing services
* pre-registration inspections for all vehicles in fine weather only
* practical driver testing for all licence classes",,,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes. Please let the staff know and they will bring out the portable ramp to assist.,Customer Service Centre,,a,,/transport/contacts/centres/view?title=Atherton Transport and Main Roads Customer Service Centre
Augathella Police Station,Main Street:driver licence; boat licence; practical driver tests,driver licence; boat licence; practical driver tests,,Main Street,Augathella,4477,,PO Box 145,Augathella,4477,-25.79543,146.585212,(07) 4654 5200,(07) 4654 5385,,9:30,15:30,9:30,15:30,9:30,15:30,9:30,15:30,9:30,16:00,,,,,,"####Services offered at this location#### 
* driver licensing
* boat licensing
* practical driver testing",,," Intersection of Bendee and Main Streets, next to post office", There are no EFTPOS facilities available at this location.,Please call to arrange an appointment.,,Queensland Police Station,,a,,/transport/contacts/centres/view?title=Augathella Police Station
Augathella QGAP,"Main Street:registration, pre-registration inspections for vehicles ","registration, pre-registration inspections for vehicles ",,Augathella Police Station Main Street,Augathella,4477,,PO Box 149,Augathella,4477,-25.796454,146.581249,(07) 4654 5007,(07) 4654 5009,,9:30,15:30,9:30,15:30,9:30,15:30,9:30,15:30,9:30-12:30,13:30-16:00,,,,,,"####Services offered at this location
* registration of vehicles and vessels
","####Services not offered at this location
* driver licensing
* practical driver testing
",,,,Please contact the centre to make sure it is staffed before travelling here.,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,a,,/transport/contacts/centres/view?title=Augathella QGAP
Aurukun Police Station,Kang Kang Rd:driver licence; boat licence; practical driver tests; registration; pre-registraion inspections,driver licence; boat licence; practical driver tests; registration; pre-registraion inspections,,Kang Kang Rd,Aurukun,4871,,Kang Kang Rd,Aurukun,4871,-13.355049,141.72432,(07) 4083 4999,(07) 4060 6271,,,,,,,,,,,,,,,,,"####Services offered at this location#### 
* driver licensing
* boat licensing
* practical driver testing
* registration of light vehicles and vessels
* pre-registration inspections for light vehicles ",,,,Transport services are currently unavailable at this location.,,,Queensland Police Station,,a,,/transport/contacts/centres/view?title=Aurukun Police Station
Ayr QGAP,163 Queen Street:registration; driver licence; boat licence,registration; driver licence; boat licence,,163 Queen Street,Ayr,4807,,PO Box 594,Ayr,4807,-19.576835,147.403959,(07) 4761 2050 or 13 23 90 (for practical driving test bookings),(07) 4761 2057,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,9:30,16:30,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels
* driver licensing
* boat licensing
* practical driving tests","####Services not offered at this location#### 
* vehicle inspections 
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,a,,/transport/contacts/centres/view?title=Ayr QGAP
Babinda QGAP,10 Munro Street:driver licence; boat licence; registration; driver tests; pre-registration inspections,driver licence; boat licence; registration; driver tests; pre-registration inspections,"Babinda Police Station
", 10 Munro Street,Babinda,4861,Babinda Police Station, 10 Munro Street,Babinda,4861,-17.344037,145.924311,(07) 4067 1120,(07) 4067 1045,,8:30,15:30,8:30,15:30,,,8:30,15:30,8:30,15:30,,,,,,"####Services offered at this location#### 
* driver licensing
* boat licensing
* registration of vehicles and vessels
* practical driver testing
* pre-registration inspections for light vehicles only",,, Opposite arts and craft centre,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (Other Agency),,b,,/transport/contacts/centres/view?title=Babinda QGAP
Bamaga Police Station,Lui St:driver licence; practical driver tests; registration; industry licensing,driver licence; practical driver tests; registration; industry licensing,,Lui St,Bamaga,4876,,PO Box  98,Bamaga,4876,-10.892087,142.395572,(07) 4090 4500,(07) 4069 3485,,,,,,9:00,16:00,9:00,16:00,,,,,,,,"####Services offered at this location#### 
* driver licensing
* practical driver testing for all licence classes up to heavy rigid
* registration of vehicles and vessels
* industry licensing services","####Services not offered at this location####
*  motorcycle tests",,,Please note: Transport and Main Roads services are currently unavailable at the Bamaga Police Station. ,,,Queensland Police Station,,b,,/transport/contacts/centres/view?title=Bamaga Police Station
Baralaba Police Station,75-77 Stopford St:registration; driver licence; boat licence,registration; driver licence; boat licence,,75-77 Stopford St,Baralaba,4702,Stopford St,PO Box 72,Baralaba,4702,-24.176352,149.813387,(07) 4998 1222,(07) 4998 1025,,8:00,13:00,,,,,,,,,,,,,,"####Services offered at this location#### 
* registration of vehicles and vessels 
* driver licensing
* boat licensing",,, Northern end of town,,,,Queensland Police Station,,b,,/transport/contacts/centres/view?title=Baralaba Police Station
Barcaldine QGAP,"65 Ash St Services: driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests",,65 Ash Street,Barcaldine,4725,,PO Box 187,Barcaldine,4725,-23.55327901,145.289156,13 23 80,(07) 4651 2760,,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,10:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,9:00-12:30,13:30-16:30,,,,,,"####Services offered at this location#### 
* driver licensing
* boat licensing
* registration of vehicles and vessels
* industry licensing services
* pre-registration inspections for all vehicles on Tuesdays, Thursdays and Fridays in fine weather only 
* practical driver testing for all licence classes",,,,"Barcaldine QGAP will be closed on 6 November for the local show holiday and will reopen on 7 November. The closest customer service centre is [Winton QGAP]( https://www.qld.gov.au/transport/contacts/centres/view?title=Winton Queensland Government Agent Program Office). Alternatively, there are a range of [online services](http://www.tmr.qld.gov.au/Online-services) available.",,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,QGAP (TMR lead),19/07/2018,b,,/transport/contacts/centres/view?title=Barcaldine Transport and Main Roads Customer Service Centre
Beaudesert Customer Centre,"driver license, boat license, registration, industry licensing, pre-registration inspections, practical driver tests, QGAP","driver licence, boat licence, registration, industry licensing, pre-registration inspections, practical driver tests, QGAP",Tenancy 2,1 Telemon St,Beaudesert,4285,,PO Box 490,Beaudesert,4285,-27.98822,152.994755,13 74 68 or 13 23 90 (for practical driving test bookings),(07) 5541 0938,,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,8:30,16:30,,,,,,"####Services offered at this location#### 
* driver licensing
*  boat licensing
*  registration of vehicles and vessels
*  industry licensing services
*  pre-registration inspections for light vehicles less than 4.5 tonne gross vehicle mass, motorcycles and trailers less than 3.5 tonne aggregate trailer mass
*  practical driver testing","####Services not offered at this location####
* practical driver testing for motorcycles. Contact a [Q-ride training provider](http://www.qld.gov.au/transport/licensing/motorcycles/getting/trainer/) for this service. ",,,,,![Wheelchair accessible](https://www.qld.gov.au/transport/assets/images/thumbnails/wheelchair-alt.png) **Wheelchair access:** yes,Customer Centre,,b,,/transport/contacts/centres/view?title=Beaudesert Customer Centre
