SC2,SC3,SC4,Z1,Z5,Z10
7,1,4879,5,8,1
7,1,4879,4,8,2
7,1,4879,3,8,2
7,1,4870,6,9,1
7,1,4868,3,3,2
7,1,4815,2,8,2
7,1,4815,6,2,2
7,1,4753,6,8,2
7,1,4680,6,8,2
7,1,4670,6,8,1
7,1,4650,6,8,1
7,1,4570,6,8,2
7,1,4075,3,1,1
6,1,4869,6,8,2
6,1,4810,6,8,2
6,1,4740,6,8,2
6,1,4655,2,2,2
6,1,4655,6,3,2
6,1,4455,6,8,2
6,1,4300,6,3,2
7,1,4560,3,7,2
7,1,4557,5,3,2
7,1,4211,6,8,2
7,1,4152,6,8,2
7,1,4129,6,8,2
6,1,4218,6,8,2
6,1,4217,6,3,2
6,1,4114,6,8,2
6,1,4055,6,7,2
6,1,4051,6,6,2
4,1,4558,6,1,2
4,1,4551,1,2,2
4,1,4306,6,5,2
4,1,4221,6,1,2
4,1,4215,2,3,2
4,1,4118,6,2,2
4,1,4074,4,7,2
4,1,4060,5,3,2
4,1,4059,2,1,1
4,1,4059,2,3,2
4,1,4059,2,3,2
4,1,4034,6,1,2
4,1,4034,6,1,2
4,1,4879,4,3,2
4,1,4818,1,6,2
4,1,4750,1,3,2
4,1,4670,5,2,2
4,1,4352,6,6,2
4,1,4075,6,3,1
3,1,4160,6,1,2
3,1,4122,3,4,2
3,1,4103,3,1,2
3,1,4059,6,1,2
3,1,4035,6,7,1
3,1,4018,4,3,1
3,1,4007,1,1,2
3,1,4870,6,2,2
3,1,4400,6,3,2
3,1,4310,6,9,1
3,1,4076,4,3,1
3,1,,6,1,2
5,1,4868,3,2,2
5,1,4810,6,8,2
5,1,4703,2,8,2
5,1,4702,1,1,1
5,1,4350,6,6,2
5,1,4519,2,8,2
5,1,4510,5,2,2
5,1,4227,6,3,2
5,1,4133,6,8,2
2,1,4207,2,2,2
2,1,4116,3,2,2
2,1,4069,6,7,1
2,1,4701,4,1,2
3,2,4870,3,3,1
3,2,4860,6,5,2
3,2,4818,6,5,2
3,2,4814,6,4,2
3,2,4810,6,3,2
3,2,4741,5,4,1
3,2,4077,4,3,1
3,2,,6,1,2
3,2,4560,6,7,2
3,2,4558,6,3,2
3,2,4508,2,4,2
3,2,4500,5,6,2
3,2,4227,1,3,2
3,2,4213,3,5,1
3,2,4211,3,4,2
3,2,4207,6,4,2
3,2,4170,3,1,1
3,2,4157,4,3,2
3,2,4119,4,3,2
3,2,4118,2,8,2
3,2,4114,2,6,1
3,2,4101,2,2,1
3,2,4066,1,9,2
3,2,4064,6,1,2
3,2,4036,6,4,2
3,2,4022,4,4,1
3,2,4011,6,2,2
3,2,4000,6,3,2
4,2,4881,6,6,1
4,2,4871,6,4,2
4,2,4870,6,7,2
4,2,4812,4,3,2
4,2,4740,6,4,2
4,2,4670,5,8,2
4,2,4655,5,2,2
4,2,4570,5,8,2
4,2,4077,3,3,1
4,2,4077,4,5,2
6,2,4703,6,8,2
6,2,4670,6,8,2
6,2,4310,6,8,2
4,2,4306,6,5,2
4,2,4209,6,9,2
4,2,4207,6,5,2
4,2,4207,6,5,2
4,2,4128,6,5,2
4,2,4116,3,2,1
4,2,4074,6,6,2
4,2,4068,2,6,1
4,2,4055,6,7,2
4,2,4053,6,5,2
4,2,4053,6,6,2
2,2,4500,4,9,2
2,2,4305,3,6,2
2,2,4213,6,2,2
2,2,4212,3,1,1
2,2,4207,3,4,2
2,2,4207,2,9,2
2,2,4131,3,2,2
2,2,4108,5,1,2
2,2,4108,3,5,2
2,2,4067,6,2,1
2,2,4059,6,2,2
2,2,4054,3,1,2
7,2,4560,6,8,2
7,2,4509,4,3,2
7,2,4270,6,3,2
7,2,4218,6,8,2
7,2,4208,5,8,2
7,2,4159,6,3,2
7,2,4154,6,9,2
7,2,4118,6,8,2
7,2,4118,6,8,2
7,2,4108,6,8,2
7,2,4054,6,8,2
7,2,4051,6,8,1
7,2,4035,6,8,2
7,2,4650,6,1,2
7,2,4615,6,8,1
7,2,4350,6,8,2
7,2,4350,5,8,2
7,2,4347,6,9,2
7,2,4341,6,8,2
7,2,4300,6,8,2
7,2,4075,6,8,1
5,2,4701,6,7,1
5,2,4701,6,8,2
5,2,4350,6,7,1
5,2,4350,6,3,2
2,2,4740,1,3,1
6,2,4510,4,8,2
6,2,4215,6,8,2
6,2,4178,6,2,2
6,2,4114,6,8,2
6,2,4109,5,8,2
6,2,4037,6,8,2
6,2,4017,6,8,2
6,2,4017,6,8,2
5,2,4152,6,6,2
5,2,4123,4,6,1
5,2,4113,6,8,2
5,2,4036,6,8,2
5,2,4019,6,6,2
5,2,,6,6,2
7,1,4879,6,8,2
7,1,4878,6,8,2
7,1,4870,6,3,2
7,1,4870,6,3,2
7,1,4869,4,8,2
7,1,4865,6,8,2
7,1,4865,6,8,2
7,1,4817,6,8,2
7,1,4815,6,8,2
7,1,4815,6,1,2
7,1,4815,6,8,2
7,1,4814,6,3,2
7,1,4814,6,8,2
7,1,4812,6,8,2
7,1,4812,6,3,2
7,1,4812,6,8,2
7,1,4812,4,8,2
7,1,4810,4,3,2
7,1,4805,5,8,2
7,1,4802,6,8,2
7,1,4802,4,8,2
7,1,4741,6,8,2
7,1,4740,6,8,2
7,1,4740,6,8,2
7,1,4737,5,3,2
7,1,4702,6,8,2
7,1,4702,6,8,2
7,1,4701,6,8,2
7,1,4700,6,8,2
7,1,4700,4,8,2
7,1,4680,6,8,2
7,1,4680,6,7,2
7,1,4680,6,7,2
7,1,4670,6,7,2
7,1,4670,6,8,2
7,1,4670,6,8,2
7,1,4670,6,8,2
7,1,4670,5,8,2
7,1,4670,5,8,2
7,1,4655,6,8,2
7,1,4655,6,8,2
7,1,4655,5,8,2
7,1,4655,3,8,2
7,1,4650,6,6,1
7,1,4650,5,8,2
7,1,4650,5,8,2
7,1,4650,6,8,2
7,1,4650,5,8,2
7,1,4650,6,9,2
7,1,4650,6,3,2
7,1,4650,6,8,2
7,1,4650,6,8,2
7,1,4650,5,8,2
7,1,4650,6,9,2
7,1,4625,6,8,2
7,1,4614,6,8,1
7,1,4580,6,8,2
7,1,4570,6,2,2
7,1,4352,6,8,2
7,1,4350,6,7,2
7,1,4350,6,8,2
7,1,4350,6,7,2
7,1,4350,6,8,2
7,1,4350,6,3,2
7,1,4350,6,8,2
7,1,4304,6,8,2
7,1,4304,6,8,2
7,1,4301,6,8,2
7,1,4301,6,8,2
7,1,4301,6,8,2
7,1,4300,6,8,2
7,1,4300,6,8,2
7,1,4300,6,8,2
6,1,4880,6,8,2
6,1,4878,6,3,1
6,1,4870,6,8,2
6,1,4870,6,3,2
6,1,4870,6,8,2
6,1,4869,6,8,2
